lm_id,lm_latitude,lm_longtitude,Mode
L00000228138,13.17441883,100.9267001,Costal
L00000323300,13.60137709,100.5959205,Costal
L00000123888,7.2265903,100.5670762,Costal
L00000281364,12.936426,100.8836041,Costal
L00000232245,13.15937169,100.8120589,Costal
L00000426877,12.89754886,100.8716627,Costal
L00000592902,13.70273861,100.5794484,Costal
L00000129602,7.21040294,100.5838072,Costal
L00000997715,20.27556168,100.4056985,Costal
L00001381825,6.23633851,102.0901445,Costal
L00001381833,6.53426212,100.0688925,Costal
L00000842630,16.22498019,105.0127361,Land
L00000857555,16.54422932,104.7310028,Land
L00000212025,16.69216376,98.51954552,Land
L00000221672,16.6011619,104.7263858,Land
L00000251837,16.69170433,98.51793523,Land
L00000263751,11.65138386,102.9089344,Land
L00000261635,11.65150634,102.9093038,Land
L00000285652,9.52066326,99.94242878,Land
L00000291203,20.4464101,99.90419846,Land
L00000300126,18.16195915,97.94398618,Land
L00000342430,11.77306675,99.6936059,Land
L00000380778,6.69670423,100.178278,Land
L00000640607,16.48115176,102.8350192,Land
L00000107799,15.23865492,105.2370623,Land
L00000031545,15.30216263,98.38708391,Land
L00000055739,19.59649335,101.0858868,Land
L00000267111,17.6904914,101.3945538,Land
L00000145280,20.42972839,99.88420632,Land
L00000273551,6.23638345,102.0900071,Land
L00000142632,20.27578385,100.4055969,Land
L00000163905,17.8673195,102.7204505,Land
L00000175620,6.02281889,101.9749083,Land
L00000013473,19.31398016,97.96280124,Land
L00000027847,15.30217093,98.38663595,Land
L00000025527,20.44355475,99.88021681,Land
L00000207748,6.51972524,100.4191122,Land
L00000207749,15.13378252,105.4671933,Land
L00000207753,20.2699531,100.0884734,Land
L00000207758,17.89873694,101.6645927,Land
L00000284461,6.02330599,101.9743071,Land
L00000050121,19.59645615,101.0859307,Land
L00000070621,17.89837709,101.6648218,Land
L00000412124,7.4057388,99.51678196,Land
L00000385176,13.66222884,102.5488613,Land
L00000421360,11.65351346,102.9090979,Land
L00000355813,20.2743423,100.0882376,Land
L00000549979,13.08609077,102.4450334,Land
L00000549983,13.08622518,102.4454666,Land
L00000133910,12.92674907,102.4931565,Land
L00000691157,19.91514173,99.20855539,Land
L00000135076,13.22234949,102.3794069,Land
L00000129706,12.90676232,102.2629544,Land
L00000154076,14.54668865,104.1307233,Land
L00000149532,20.25968657,100.4074134,Land
L00000652508,5.83953771,101.8918828,Land
L00000997715,20.27556168,100.4056985,Land
L00001018441,20.34580929,100.0836687,Land
L00001018387,20.35373999,100.0820241,Land
L00001116351,18.10380159,101.1583517,Land
L00000984901,9.98135372,98.60060286,Land
L00000984854,12.60121315,102.1109007,Land
L00000984875,20.2160757,100.4352234,Land
L00001148208,13.92505516,99.08350242,Land
L00001354380,6.63633024,100.4233794,Land
L00001381912,6.5197231,100.4188404,Land
L00001381963,13.66242398,102.5485522,Land
L00001381964,15.31837175,105.4983943,Land
L00001381965,5.83996497,101.8882239,Land
L00001381559,14.34108274,103.1752348,Land
L00001728860,12.17141079,102.3926203,Land
L00001728861,17.39884321,104.7901789,Land
L00001728862,6.02209523,101.965462,Land
L00001728863,6.89517607,101.2510112,Land
L00001728864,7.86998826,98.3937727,Land
L00001728865,9.95215199,98.59996352,Land
L00001728866,12.72306395,101.1277934,Land
L00001729143,13.99798289,99.54193855,Land
L00001728932,8.44182786,98.52994964,Land
L00001728930,18.77146192,98.97134111,Land
L00001728931,8.05171678,98.90474448,Land
L00000404194,5.74802403,101.029687,Land
L00000950836,15.92877627,105.3420473,Land
L00000751646,14.79705113,100.6522489,Land
L00000191755,16.75324614,98.6262289,Land
L00000416400,15.19301055,98.46139946,Land
L00000468271,14.43535612,103.6999989,Land
L00000486526,20.2737488,100.0848766,Land
L00000534753,16.94302303,104.7291795,Land
L00000568885,17.70502858,101.4125145,Land
L00000593269,6.4722987,100.7095454,Land
L00000593270,6.66451661,100.3276403,Land
L00000593271,5.74786066,101.0287491,Land
L00000671976,17.4797886,104.717147,Land
L00000696998,18.39528531,103.6157053,Land
L00000748897,6.53405945,100.0690495,Land
L00000768470,16.59967217,104.7249948,Land
L00001369722,97.97544684,97.97544684,Air
L00001728933,98.3058327,98.3058327,Air
L00001728934,100.3937901,100.3937901,Air
L00001729004,100.7515796,100.7515796,Air
L00001728927,100.6014749,100.6014749,Air
L00001728929,98.96811731,98.96811731,Air
L00000204234,100.9990571,100.9990571,Air
L00000211954,99.14280865,99.14280865,Air
L00000224890,101.1472976,101.1472976,Air
L00000243193,102.7751905,102.7751905,Air
L00001028749,101.1606409,101.1606409,Air
L00000289799,98.3058327,98.3058327,Air
L00000289693,100.0640035,100.0640035,Air
L00000295830,98.98250568,98.98250568,Air
L00000353290,100.1623477,100.1623477,Air
L00000159072,101.190649,101.190649,Air
L00000006477,99.82047807,99.82047807,Air
L00000037842,100.3937901,100.3937901,Air
L00000028208,104.1164254,104.1164254,Air
L00000014057,101.7268631,101.7268631,Air
L00000140778,99.35889366,99.35889366,Air
L00000022296,99.61530081,99.61530081,Air
L00000195725,100.7809528,100.7809528,Air
L00000227156,101.7471695,101.7471695,Air
L00000252425,103.7782101,103.7782101,Air
L00000041194,104.6446076,104.6446076,Air
L00000292827,99.95153361,99.95153361,Air
L00000060253,98.58744046,98.58744046,Air
L00000320780,100.6014749,100.6014749,Air
L00000319412,102.7867891,102.7867891,Air
L00000065624,99.50530603,99.50530603,Air
L00000348271,98.54345275,98.54345275,Air
L00000090037,99.8790985,99.8790985,Air
L00000136403,99.25373623,99.25373623,Air
L00000131251,103.4969299,103.4969299,Air
L00000170408,103.2478446,103.2478446,Air
L00000652548,97.93102784,97.93102784,Air
L00000165449,102.3114557,102.3114557,Air
L00000174662,100.2815652,100.2815652,Air
L00000184804,98.96814751,98.96814751,Air
L00000417073,100.7506879,100.7506879,Air
L00000420568,102.3240317,102.3240317,Air
L00000019054,98.43541152,98.43541152,Air
L00000090367,99.94031313,99.94031313,Air
L00000174149,104.8706125,104.8706125,Air
