pa_id,Mode
P00000122213,Air
P00000120140,Air
P00000110632,Air
P00000018030,Air
P00000024092,Air
P00000018031,Air
P00000072127,Air
P00000036737,Air
P00000116015,Air
P00000092446,Air
P00000120668,Air
P00000085027,Air
P00000122306,Air
P00000057291,Air
P00000134637,Air
P00000144622,Air
P00000027320,Air
P00000026981,Air
P00000131304,Air
P00000133226,Air
P00000012631,Air
P00000015080,Air
P00000123061,Air
P00000089673,Air
P00000031692,Air
P00000103868,Air
P00000008519,Air
P00000054589,Air
P00000053509,Air
P00000083748,Air
P00000051283,Air
P00000093628,Air
P00000034029,Air
P00000087282,Air
P00000056510,Air
P00000054947,Air
P00000023534,Air
P00000094237,Air
P00000084933,Air
P00000083749,Air
P00000142664,Land
P00000140238,Land
P00000144613,Land
P00000146150,Land
P00000074109,Land
P00000142237,Land
P00000058038,Land
P00000159684,Land
P00000169221,Land
P00000174569,Land
P00000174575,Land
P00000146597,Land
P00000164331,Land
P00000173385,Land
P00000149136,Land
P00000047152,Land
P00000153799,Land
P00000141659,Land
P00000141649,Land
P00000141640,Land
P00000146598,Land
P00000168957,Land
P00000058306,Land
P00000174574,Land
P00000075939,Land
P00000147150,Coastal
P00000147147,Coastal
P00000147149,Coastal
P00000032065,Coastal
L00000228138,Costal
L00000323300,Costal
L00000123888,Costal
L00000281364,Costal
L00000232245,Costal
L00000426877,Costal
L00000592902,Costal
L00000129602,Costal
L00000997715,Costal
L00001381825,Costal
L00001381833,Costal
L00000842630,Land
L00000857555,Land
L00000212025,Land
L00000221672,Land
L00000251837,Land
L00000263751,Land
L00000261635,Land
L00000285652,Land
L00000291203,Land
L00000300126,Land
L00000342430,Land
L00000380778,Land
L00000640607,Land
L00000107799,Land
L00000031545,Land
L00000055739,Land
L00000267111,Land
L00000145280,Land
L00000273551,Land
L00000142632,Land
L00000163905,Land
L00000175620,Land
L00000013473,Land
L00000027847,Land
L00000025527,Land
L00000207748,Land
L00000207749,Land
L00000207753,Land
L00000207758,Land
L00000284461,Land
L00000050121,Land
L00000070621,Land
L00000412124,Land
L00000385176,Land
L00000421360,Land
L00000355813,Land
L00000549979,Land
L00000549983,Land
L00000133910,Land
L00000691157,Land
L00000135076,Land
L00000129706,Land
L00000154076,Land
L00000149532,Land
L00000652508,Land
L00001018441,Land
L00001018387,Land
L00001116351,Land
L00000984901,Land
L00000984854,Land
L00000984875,Land
L00001148208,Land
L00001354380,Land
L00001381912,Land
L00001381963,Land
L00001381964,Land
L00001381965,Land
L00001381559,Land
L00001728860,Land
L00001728861,Land
L00001728862,Land
L00001728863,Land
L00001728864,Land
L00001728865,Land
L00001728866,Land
L00001729143,Land
L00001728932,Land
L00001728930,Land
L00001728931,Land
L00000404194,Land
L00000950836,Land
L00000751646,Land
L00000191755,Land
L00000416400,Land
L00000468271,Land
L00000486526,Land
L00000534753,Land
L00000568885,Land
L00000593269,Land
L00000593270,Land
L00000593271,Land
L00000671976,Land
L00000696998,Land
L00000748897,Land
L00000768470,Land
L00001369722,Air
L00001728933,Air
L00001728934,Air
L00001729004,Air
L00001728927,Air
L00001728929,Air
L00000204234,Air
L00000211954,Air
L00000224890,Air
L00000243193,Air
L00001028749,Air
L00000289799,Air
L00000289693,Air
L00000295830,Air
L00000353290,Air
L00000159072,Air
L00000006477,Air
L00000037842,Air
L00000028208,Air
L00000014057,Air
L00000140778,Air
L00000022296,Air
L00000195725,Air
L00000227156,Air
L00000252425,Air
L00000041194,Air
L00000292827,Air
L00000060253,Air
L00000320780,Air
L00000319412,Air
L00000065624,Air
L00000348271,Air
L00000090037,Air
L00000136403,Air
L00000131251,Air
L00000170408,Air
L00000652548,Air
L00000165449,Air
L00000174662,Air
L00000184804,Air
L00000417073,Air
L00000420568,Air
L00000019054,Air
L00000090367,Air
L00000174149,Air
